Région,Nature,Type,Texte annonce,Prix,Modifiée
Borj Cedria,Location,App. 3 pièc,Appartement  3 pieces,500,04/12/2024
Cite Bhar Lazre,Bureaux & Commer,Surfaces,Dépot à bhar lazreg,6 000,04/12/2024
El Manar 1,Bureaux & Commer,Bureau,Cabinet médical de 55 m2,1 400,04/12/2024
Ain Zaghouan,Vente,App. 5 pièc,Appt s4 de 202m2 ain zag,620 000,04/12/2024
Berge Du Lac,Bureaux & Commer,Bureau,Espace bureautique au la,2 500,04/12/2024
La Soukra,Location,App. 2 pièc,Apprt s1 meublé  ave,1 350,04/12/2024
Berge Du Lac,Bureaux & Commer,Bureau,Espace bureautique 3,11 000,04/12/2024
Jardins de Cart,Location,App. 4 pièc,S3 avec jardin aux jardi,3 000,04/12/2024
Chotrana 1,Location,Maisons,Villa en s4 avec pis,3 300,04/12/2024
Gammart,Location,Maisons,Villa avec piscine à,10 000,04/12/2024
Msaken,Terrain,Terrain nu,Terrain  sousse msaken,1 737 600,04/12/2024
El Aouina,Location,App. 2 pièc,Appartement s1  rich,1 700,04/12/2024
Cite De La Sant,Location,App. 3 pièc,Appartement à bord louzir cit,450,04/12/2024
Jardins d'el Me,Bureaux & Commer,Gérance lib,Local commercial à j,2 800,04/12/2024
Charguia 1,Bureaux & Commer,Autre,Local commercial de,4 200,04/12/2024
Berge Du Lac,Bureaux & Commer,Bureau,Espace bureautique a,7 000,04/12/2024
Marsa Ennassim,Location,Duplex,Triplex s5 avec jardin à,5 500,04/12/2024
Berge Du Lac,Location,Surfaces,Local ussage bureautique,1 500,04/12/2024
Ain Zaghouan,Location,App. 4 pièc,Appartement s3 à ain zag,2 500,04/12/2024
Cite El Mahrsi,Location,App. 3 pièc,S plus 2 meublé a si,980,04/12/2024
Hammamet,Location,App. 3 pièc,S plus 2 a el hammam,700,04/12/2024
Hammamet,Location,App. 4 pièc,S plus 3 semi meublé,800,04/12/2024
Bab Bhar,Location,App. 3 pièc,Appartement au plein,700,04/12/2024
Ain Zaghouan,Location,Surfaces,Depot  ain zaghouan tel,2 200,04/12/2024
El Aouina,Location,App. 2 pièc,S plus 1 jardins laouina,1 700,04/12/2024
La Soukra,Vente,App. 2 pièc,S plus 1 rue de parc tel,340 000,04/12/2024
Chatt Meriem,Vente,App. 3 pièc,Offre appartement s2 pro,320 000,04/12/2024
Kelibia,Terrain,Terrain agr,Investir au cap bon un terrai,350 000,04/12/2024
Sahloul,Terrain,Terrain nu,Lot 195m et autorisation,263 250,04/12/2024
Cite Ennasr 1,Location,Maisons,Centre de coiffure et es,2 000,04/12/2024
El Menzah 9,Vente,App. 3 pièc,S2 direct promoteur a me,470 000,04/12/2024
Jardins d'el Me,Location,Maisons,Belle villa s5 habitatio,3 500,04/12/2024
Jardins de Cart,Location,Maisons,Belle villa de 4 niveaux,6 800,04/12/2024
Kelibia,Terrain,Terrain nu,Un terrain  agricole pour une,300 000,04/12/2024
El Menzah 9,Vente,App. 4 pièc,S3 menzah 9 638 md,638 000,04/12/2024
El Menzah 9,Vente,App. 3 pièc,S2 380 md menzah 9c,380 000,04/12/2024
Le Kram,Location,App. 3 pièc,Apprt s2 au 2 eme ét,800,04/12/2024
Kelibia,Terrain,Terrain agr,Opportunité pour les investis,240 000,04/12/2024
Riadh Landlous,Location,App. 2 pièc,S1 avec terrasse dans un,900,04/12/2024
El Mourouj,Bureaux & Commer,Bureau,Local commercial à el mo,700,04/12/2024
Riadh Landlous,Location,App. 3 pièc,S2 1200 riadh el andalou,1 200,04/12/2024
Cite Bahroun,Location,Maisons,Rez de chaussée s plus3,700,04/12/2024
Jardins de Cart,Location,Autre,Bureau h0 aux jardins de,1 500,04/12/2024
Nouvelle Medina,Location,App. 3 pièc,Bureau holland à nou,700,04/12/2024
La Soukra,Vente,Duplex,Duplex avec piscine à la,950 000,04/12/2024
Berge Du Lac,Location,Maisons,Villa a usage bureautiqu,12 000,04/12/2024
Bizerte,Location,App. 2 pièc,Appartement haut standin,950,04/12/2024
Le Kram,Location,Autre,Plateau 732 m aux berges,13 420,04/12/2024
Ariana,Bureaux & Commer,Atelier,Local hessa à ennkhi,500,04/12/2024
Oued Laya,Terrain,Terrain agr,Terrain agricole oued laya,580 000,04/12/2024
El Mourouj,Location,Maisons,Étage de villa mourouj 4,580,04/12/2024
Zone Hoteliere,Vente,App. 4 pièc,Appartement  louana,650 000,04/12/2024
Chotrana 1,Location,Surfaces,Dépot de stockage à sidi,1 800,04/12/2024
Sousse,Terrain,Terrain nu,Terrain  sousse khezema rue o,395 000,04/12/2024
Cite Sahloul,Terrain,Terrain nu,Sousse sahloul,3 086 740,04/12/2024
Kelibia,Terrain,Terrain nu,Investissez dans des terrains,170 000,04/12/2024
El Aouina,Vente,App. 3 pièc,Appartement s 2  à   chot,460 000,04/12/2024
Marsa Safsaf,Location,App. 2 pièc,La marsa ville pas loin,1 500,04/12/2024
Hedi Chaker,Location,App. 2 pièc,Studio semi meulee propre,900,04/12/2024
Tunis Belvedere,Bureaux & Commer,Bureau,Bureaux openspace lux cote al,5 000,04/12/2024
Sfax,Vente,App. 3 pièc,Appart 60m2 avenue de algerie,60 000,04/12/2024
El Mourouj,Vente,App. 3 pièc,Appartement s2 spacieux,150 000,04/12/2024
Berge Du Lac,Location,Duplex,Duplex neuf au lac 1 jardin,3 500,04/12/2024
El Aouina,Vente,App. 2 pièc,Apprt s1 à citee wahat,260 000,04/12/2024
Cite El Khadra,Bureaux & Commer,Bureau,Bureau h5 à cité el,2 700,04/12/2024
Kelibia,Terrain,Terrain nu,A kelibia un terrain de 1000,90 000,04/12/2024
El Mourouj,Vente,App. 3 pièc,Offre appartement s2 à e,95 000,04/12/2024
Gammart,Location,App. 4 pièc,Rdc de villa lewisia,3 500,04/12/2024
Le Kram,Location,Autre,Plateau 417 m en h10 au,9 420,04/12/2024
Ain Zaghouan,Bureaux & Commer,Bureau,Immeuble à la marsa,30 000,04/12/2024
El Aouina,Location,App. 3 pièc,Appartement s 2 à ci,1 100,04/12/2024
Montplaisir,Bureaux & Commer,Bureau,Bureau h4 à montplaisir,1 700,04/12/2024
El Manar 2,Location,Maisons,Villa avec piscine au ma,5 500,04/12/2024
Berge Du Lac,Location,Duplex,Duplex s4 au lac 1,4 200,04/12/2024
Ezzahra,Location,App. 3 pièc,Appart s 2 à ezzahra,650,04/12/2024
Carthage,Location,Maisons,Rez de jardin en s2,2 500,04/12/2024
Ariana,Location,App. 5 pièc,S4 à l'ariana,1 500,04/12/2024
Kelibia,Terrain,Terrain nu,Terrain pour les investisseur,90 000,04/12/2024
Ezzahra,Location,App. 3 pièc,Appartement s3 hst à ezz,1 200,04/12/2024
Borj Cedria,Location,App. 3 pièc,Appartement s3 hst à bor,950,04/12/2024
Cite Ennacim,Location,Maisons,Etage de villa s2 me,1 000,04/12/2024
Borj Cedria,Vente,Surfaces,Terrain a borj cedria,275 000,04/12/2024
Hammamet,Vente,Maisons,Villa nv à monchar v2582,1 250 000,04/12/2024
Hammamet,Location,App. 2 pièc,S plus 1 meublé a el,300,04/12/2024
Hammam El Gheza,Terrain,Terrain nu,Offre de terrain magique avec,315 000,04/12/2024
Hammamet,Location,App. 2 pièc,S plus 1 meublé a el,550,04/12/2024
Bab Bhar,Bureaux & Commer,Bureau,Bureau h4 aconit au,2 000,04/12/2024
La Soukra,Bureaux & Commer,Surfaces,Local de 60m pour traite,850,04/12/2024
La Mannouba,Location,App. 3 pièc,Appartement wra 7was,850,04/12/2024
El Aouina,Bureaux & Commer,Surfaces,Local commercial ou dépô,1 300,04/12/2024
Ain Zaghouan,Location,App. 3 pièc,Etgae de villa s3 ain za,1 350,04/12/2024
La Soukra,Bureaux & Commer,Surfaces,Local commercial ou dépô,1 300,04/12/2024
La Mannouba,Vente,Duplex,Duplex cité banka,900 000,04/12/2024
La Soukra,Location,App. 3 pièc,Appartement s2 à la souk,1 200,04/12/2024
Sousse Riadh,Terrain,Terrain nu,Terrain pret le technopole,1 300 000,04/12/2024
Berge Du Lac,Location,App. 4 pièc,Appartement meublée vue,4 800,04/12/2024
Hammam El Gheza,Terrain,Terrain agr,Offre de terrain agricole de,252 000,04/12/2024
Denden,Vente,App. 2 pièc,Appt s plus un dans rési,120 000,04/12/2024
Hammam El Gheza,Terrain,Terrain nu,Offre spécial de 3000 mètre a,189 000,04/12/2024
Chatt Meriem,Vente,App. 4 pièc,Villa  a chott marie,540 000,04/12/2024
Cite Ennasr 2,Location,App. 1 pièc,Appart s plus zéro dans,620,04/12/2024
Cite Ennasr 2,Location,App. 5 pièc,Spacieux appt s3 à cité,1 200,04/12/2024
Ezzahra,Location,App. 3 pièc,Appart simba s3 à ez,950,04/12/2024
El Aouina,Location,App. 5 pièc,Particulier l s4meublé n,2 200,04/12/2024
Cite Ennasr 2,Location,App. 1 pièc,Particulier l s1 meublé,1 200,04/12/2024
Bab Bhar,Bureaux & Commer,Bureau,Bureau h3 roya au ce,800,04/12/2024
El Aouina,Location,App. 2 pièc,Propriétaire l s2 meublé,1 250,04/12/2024
Bou Mhel,Location,App. 1 pièc,Un depot boumhel bassati,2 800,04/12/2024
Nabeul,Location,App. 1 pièc,annuelle  s2 vide,1 500,04/12/2024
Sakiet Ezzit,Terrain,Terrain nu,3 lots de terrain  rt te,300 000,04/12/2024
Merkez Chihya,Location,Maisons,Petite maison rte teniou,450,04/12/2024
Berge Du Lac,Location,App. 2 pièc,Apt 2 piéces au lac 1,1 400,04/12/2024
Ain Zaghouan,Location,App. 3 pièc,Appt s2 rdc res les pyra,850,04/12/2024
Cite Ennasr 1,Location,App. 3 pièc,Appartement s3 de 175m2  cite,1 500,04/12/2024
Cite Ennasr 2,Bureaux & Commer,Bureau,Etage de villa s5 bureau,2 500,04/12/2024
Cite Ennasr 1,Location,App. 2 pièc,S1 meuble 1350 d ennasr,1 350,04/12/2024
El Menzah 9,Location,App. 2 pièc,App s1 à menzah 9 c à 11,1 100,04/12/2024
Hammamet,Vente,Maisons,Villa dream v122 zone su,1 050 000,04/12/2024
Cite El Moustak,Location,App. 4 pièc,S3 richement  meublée,3 000,04/12/2024
Cite Ennasr 1,Vente,App. 4 pièc,S3 a ennasr 1 avec jardi,500 000,04/12/2024
Marsa Safsaf,Vente,App. 3 pièc,Réf 89v bel appartement s 2 r,1 500 000,04/12/2024
Cite Mongi Slim,Location,App. 4 pièc,Appartement s4 hst à mar,2 500,04/12/2024
El Aouina,Bureaux & Commer,Surfaces,Local commercial a la cit,3 500,04/12/2024
La Soukra,Location,App. 3 pièc,App s3 soukra,1 300,04/12/2024
El Menzah 7,Vente,App. 3 pièc,S2 212 md menzah 7,212 000,04/12/2024
Cherifate,Vente,Maisons,Villa slimen,11 000 000,04/12/2024
Salambo,Vente,App. 4 pièc,Réf 76v appartement s2 retapé,380 000,04/12/2024
La Soukra,Location,Surfaces,Local sokra,6 000,04/12/2024
Cite Ennasr 2,Vente,Maisons,Villa a usage commercial,3 000 000,04/12/2024
Kalaa Essghira,Terrain,Terrain nu,Terrain kalaa sghira 422mtr,550 000,04/12/2024
Berge Du Lac,Location,App. 2 pièc,App s1 meublé lac 2,1 700,04/12/2024
Kalaa Essghira,Vente,Maisons,Maison sur terrain kalaa sghi,150 000,04/12/2024
Ariana,Vente,Maisons,Réf 77v villa de 3 niveaux au,750 000,04/12/2024
Hammam El Gheza,Terrain,Terrain agr,Pour investir un terrain de 2,126 000,04/12/2024
